Address,Prisantydning,Fellesgjeld,Omkostninger,Totalpris,Felleskost,Boligtype,Eieform_bolig,Soverom,Primærrom,Bruksareal,Etasje,Byggeår,Energimerking,Beskrivelse,Eiendomsmegler
"Knappane 38D, 5414 Stord",1290000,33592,1323592,12902,0,Leilighet,Eier (Selveier),2,53 m²,55 m²,1,1998,D - rød,Lettstelt leilighet i 1.etasje med 2 soverom,
"Karl Johans gate 3, 1776 Halden",1450000,133290,1583290,4512,0,Leilighet,Andel,2,66 m²,66 m²,3,1957,F - mørkegrønn,Gjennomgående 3-roms leilighet med renoveringsbehov - Sentralt - Balkong med ettermiddagssol - Flott utsikt,
"Kallandsheia 18B, 4887 Grimstad",2250000,67620,2317620,2000,13789,Leilighet,Eier (Selveier),2,74 m²,74 m²,2,2017,C - rød,"Nyere topp og ende leilighet med gode solforhold, parkering og bod i kjeller.",
"Tillaveien 11, 1626 Manstad",3490000,88592,3578592,1708,9393,Leilighet,Eier (Selveier),3,89 m²,93 m²,1,2017,,Pen endeleilighet fra år 2017 med 3 soverom - innglasset terrasse - trappefri adkomst - sportsbod - parkering.,
"Novikveien 52 C, 8800 Sandnessjøen",1050000,370355,960,1421315,6438,Leilighet,Andel,2,61 m²,64 m²,1,2000,C - rød,Visning 1. juli! Moderne 3- roms leilighet i 1. etasje I sentralt I nært skoler og idrettsarena,
"Ole R. Gjems veg 50, 2212 Kongsvinger",7000000,176342,7176342,4129,2997,Leilighet,Eier (Selveier),3,126 m²,132 m²,5,2017,C - mørkegrønn,"Innbydende og påkostet toppleilighet på 132 m², med sentral beliggenhet og heis - Solrik terrasse med utsikt mot Glomma.",
"Tunveien 24 (leil. B401), 1820 Spydeberg",5190000,34902,5224902,4352,0,Leilighet,Eier (Selveier),3,113 m²,117 m²,4,2020,A - mørkegrønn,Spydeberg // Ny 4-roms hjørneleilighet med god standard og to romslige balkonger // lave fellesutgifter,
"Professor Dahls gate 39A, 0353 Oslo",5990000,107000,12620,6109620,4600,Leilighet,Aksje,2,64 m²,64 m²,1,1948,,Moderne og stilren 3-roms leilighet med høy standard. Nyoppusset i 2021. Attraktiv beliggenhet!,
"Løvåsveien 70, 5145 Fyllingsdalen",2150000,377824,13204,2541028,7793,Leilighet,Andel,3,84 m²,87 m²,10,1968,,Visning avlyst - - Sentral 4-roms leilighet med kort vei til barnehage og skole. Solrik altan. Varmtvann og A-konto strø,
"Skolgemyrane 26, 6060 Hareid",2450000,123456,2573456,1200,17616,Leilighet,Eier (Selveier),3,105 m²,112 m²,2,2018,C,Nyere og pen 4-roms leilighet | Sentralt | Solrikt |Utsikt,
"Svend Foyns gate 1 A, 3126 Tønsberg",2800000,356000,1132,3157132,6002,Leilighet,Andel,3,104 m²,105 m²,2,1855,G - oransje,Nydelig sentrumsleilighet med 3 soverom beliggende i vakre Foyngården,
"Øvre Sædalsvegen 18, 5099 Bergen",3700000,101070,3801070,2374,15492,Leilighet,Eier (Selveier),2,82 m²,86 m²,1,2017,D - rød,SÆDALEN - Strøken 3(4)-roms eierleilighet fra 2017. Vestvendt uteplass med gode solforhold. Kort vei til skole.,
"Stavangergata 44B, 0467 Oslo",4300000,58000,8626,4366626,2781,Leilighet,Andel,1,56 m²,57 m²,5,1951,G - oransje,Nyt en av Bjølsens råeste utsikter i denne fine gjennomgående 2-roms leiligheten med solrik balkong! Peis,
"Slettheiveien 57B, 4626 Kristiansand S",1890000,166669,59842,2116511,4216,Leilighet,Eier (Selveier),3,92 m²,95 m²,3,1972,,Slettheia - Lys og pen 4-roms selveier leilighet med balkong. Solrik beliggenhet. Garasje i rekke.,
"Fjellgata 51, 0566 Oslo",3350000,121000,12620,3483620,3380,Leilighet,Aksje,1,35 m²,35 m²,2,1932,D - rød,"Sjarmerende og stilig 2-roms med originale tregulv og slette pene overflater! Ingen forkjøpsrett, internett/tv inkl.",
"Oddernesveien 3, 4630 Kristiansand S",1650000,49692,1699692,430,6140,Leilighet,Eier (Selveier),28 m²,28 m²,1936,441 m² (eiet),31 m²,,Selveierleilighet med rolig og sentral beliggenhet,
"Odvar Solbergs vei 190, 0973 Oslo",2700000,548000,15554,3263554,5090,Leilighet,Andel,2,81 m²,97 m²,3,1972,D - rød,Hyggelig og velholdt 3-roms andelsleilighet med innglasset balkong - Heis - Markanært - Barnevennlig - Garasjeplass!,
"Skolevegen 6, 4700 Vennesla",800000,299999,7860,1107859,4524,Leilighet,Andel,1,34 m²,34 m²,2,1968,,Påmeldingsvisning Tirsdag 29.06. kl. 16:30. Flott og pen 2-romsleilighet sentralt i Vennesla,
"Kampen hageby 38, 0655 Oslo",9600000,241342,9841342,2683,0,Leilighet,Eier (Selveier),2,104 m²,118 m²,1995,3638 m² (eiet),,Innholdsrikt og idyllisk rekkehus i familievennlige omgivelser. To uteplasser på 13m² og 7m². Sentralt og skjermet!,
"Åssiden 3B, 1860 Trøgstad",1100000,187927,1132,1289059,3509,Leilighet,Andel,1,49 m²,49 m²,2,2007,F - rød,2-roms andelsleilighet i 2.etg | Vestvendt veranda med gode solforhold og et luftig utsyn | Oppussing,
"Tollbodgata 73B, 4614 Kristiansand S",1650000,329990,12925,1992915,3353,Leilighet,Andel,2,39 m²,39 m²,1,1887,G - rød,VISNING 1/7! Lekker totaloppusset 3-romsleilighet i sentrum | Felles bakgård/takterrasse | Parkering etter ansienintet,
"Bentsebrugata 13J, 0476 Oslo",4190000,107292,4297292,1181,0,Leilighet,Eier (Selveier),1,43 m²,43 m²,3,1959,,"Lekker 2-roms leilighet fra 2021 med fransk balkong, heis og tilgang til solrik felles takterrasse. Rett ved Akerselva!",
"Sandhorngata 31, 8008 Bodø",3990000,101092,4091092,1000,11003,Leilighet,Eier (Selveier),2,91 m²,113 m²,1,1955,E - rød,Romslig og innbydende 3-roms selveier | Leieinntekter | Innglasset balkong | Sentralt,
"Tennisveien 7, 4021 Stavanger",2990000,679000,1132,3670132,7011,Leilighet,Andel,2,99 m²,99 m²,2,1978,F - rød,Moderne og innbydende leilighet med god standard | To balkonger med gode solforhold | Garasjeplass,
"Mårdalen 7, 5236 Rådal",3390000,119695,13204,3522899,5805,Leilighet,Andel,3,85 m²,85 m²,4,1972,,Sjelden mulighet i Mårdalen. Stor 4-roms leilighet m/masse sol og mulig den beste beliggenheten. Like ved bybanestopp.,
"Orrevegen 14, 2006 Løvenstad",2600000,117995,8626,2726621,4215,Leilighet,Andel,1,57 m²,65 m²,1,1968,F - mørkegrønn,"Lys og romslig 2-roms leilighet i høy 1. etasje. Innglasset balkong - Garasje og P-plass - Sentralt, nær buss og butikk!",
"St. Olavs vei 33, 4631 Kristiansand S",2650000,816534,7860,3474394,5925,Leilighet,Andel,2,70 m²,83 m²,9,1962,G - mørkegrønn,Flott 3- roms toppleilighet med en nydelig utsikt midt på Lund I Heis I Felles parkering I Innglasset balkong,
"Vågsbygd ringvei 6D, 4620 Kristiansand S",3000000,3519,3003519,1700,11412,Leilighet,Eier (Selveier),3,132 m²,139 m²,2,1999,E - gul,Stor selveierleilighet over to plan med garasje. 3 (4) soverom og 2 bad.,
"Prost Stabels vei 418, 2019 Skedsmokorset",3290000,77526,3367526,3000,0,Leilighet,Andel,2,77 m²,77 m²,2,1986,,"Meget pen og romslig 3-roms med garasjeplass (el-bil), terrasse og balkong med gode solforhold! Sentralt & barnevennlig!",
"Flaktveitsvingane 66, 5135 Flaktveit",2790000,37276,13353,2840629,4478,Leilighet,Andel,3,97 m²,104 m²,1,1979,,"Fin 4-roms med solrik beliggenhet og trappefri adkomst. Nært skoler, buss og butikk",
"Moldalia 114, 5267 Espeland",2700000,76070,2776070,417,10319,Leilighet,Eier (Selveier),2,78 m²,83 m²,1,2007,,ESPELAND - Flott og innholdsrik 3-roms eierleilighet med vestvendt terrasse på 55 m². Attraktiv plassering i boligfeltet,
"Storgata 16C, 2609 Lillehammer",2490000,63592,2553592,544,12343,Leilighet,Eier (Selveier),1,41 m²,41 m²,2015,E - mørkegrønn,,Flott 2-roms eierleilighet fra 2015 i sentrum med garasjeplass.,
"Tyttebærlia 40B, 2053 Jessheim",3200000,1608,81342,3282950,1606,Leilighet,Eier (Selveier),2,65 m²,67 m²,2,2005,E - oransje,Lys og velholdt selveierleilighet i 2. etasje med lave felleskostnader. Solrik balkong og fin beliggenhet innerst i blin,
"Antenneveien 3, 1154 Oslo",3500000,101000,15554,3616554,2695,Leilighet,Andel,1,52 m²,52 m²,5,1955,E - rød,Lekker 2-roms i blokkens toppetg. Grønt og fritt utsyn. Sydvendt balkong. Flislagt bad og delikat kjøkken! Peis.,
"ELVEGATA 4, 5700 Voss",3500000,88670,3588670,2183,0,Leilighet,Eier (Selveier),2,73 m²,77 m²,2013,C - rød,,Lys & luftig 3-romsleilihet med balkong og parkering i garasje - gangavstad til alt i Voss sentrum,
"Havnegata 5, 1555 Son",7200000,181342,7381342,2333,9796,Leilighet,Eier (Selveier),2,75 m²,75 m²,4,2007,D - rød,Praktfull TOPPLEILIGHET i Son sentrum ved sjøkanten - Stor solrik terrasse - Utsikt - Garasje - Heis,
"Oluf Melvolds gate 66, 2318 Hamar",2650000,84000,1132,2735132,6370,Leilighet,Andel,3,85 m²,94 m²,4,1964,G - mørkegrønn,4-roms toppleilighet med flott utsyn og god solgang. Heis/innglasset balkong.,
"Jærveien 124, 4321 Sandnes",2745000,69962,2814962,2984,0,Leilighet,Eier (Selveier),2,60 m²,78 m²,4,2012,B - gul,Meget tiltalende 3-roms selveierleilighet med stor innglasset balkong | 2 soverom | Parkering i lukket anlegg,
"Trekolvegen 9, 6854 Kaupanger",2800000,78742,2878742,300,17786,Leilighet,Eier (Selveier),2,70 m²,74 m²,1,2016,C - rød,Attraktiv 3-roms i Bråtane med trappefri adkomst og store terrasse | Nydeleg utsikt,
"Bergsligata 7, 7017 Trondheim",4740000,119842,4859842,2414,15184,Leilighet,Eier (Selveier),3,108 m²,108 m²,3,1912,F - oransje,"Meget pen og lys leilighet med stor takøyde - 3 soverom og 2 stuer - nærhet til ""alt""",
"Kringsjå 11B, 1605 Fredrikstad",2200000,125686,1132,2326818,3296,Leilighet,Andel,1,52 m²,52 m²,1,1974,D - rød,Kringsjå - Pen endeleilighet i sentrumsnært og attraktivt boligområde!,
"Balsfjordvinden 12, 9006 Tromsø",2450000,819471,960,3270431,9527,Leilighet,Andel,2,58 m²,61 m²,3,2004,D - rød,Pen og moderne 3-roms toppetasjes leilighet med solrik veranda og parkeringsplass,
"Høylundsvingen 14 D, 1850 Mysen",2450000,62592,2512592,1450,0,Leilighet,Eier (Selveier),3,99 m²,100 m²,2,1939,G - oransje,"Stor, tiltalende 4-roms selveier på 100 m² med solrike uteplasser og biloppstillingsplass beliggende ved Mysen sentrum.",
"Dalaneveien 17, 4617 Kristiansand S",1380000,42372,1422372,800,8203,Leilighet,Eier (Selveier),2,54 m²,54 m²,1,1938,,Dalane | 3-roms selveierleilighet | Stor kjeller | Sydvendt terrasse og privat hage | Nyere bad | Sentrumsnært,
"Møllendalsveien 62D, 5009 Bergen",2180000,3314000,1132,5495132,16848,Leilighet,Andel,2,69 m²,73 m²,4,2016,B - mørkegrønn,Lekker 3-roms leil. med garasjeplass og solrik balkong. Nydelig utsikt mot Store Lungegårdsvann/Fjellsiden. IN-ordning.,
"Kråvasslia 22A, 5134 Flaktveit",1690000,663789,13204,2366993,7711,Leilighet,Andel,2,73 m²,73 m²,2,1989,,"FLAKTVEIT - Pen leilighet med stor og solrik markterrasse. Familievennlig område nær barnehage, skole, buss og butikk.",
"Dalevegen 44, 6270 Brattvåg",2350000,70322,2420322,2133,0,Leilighet,Eier (Selveier),2,83 m²,123 m²,2,1998,D - rød,Flott leilighet med 2 soverom og veranda i Åsen Terrasse. Egen garasje med bod i bakkant. Heis i bygget,
"Riihimækiveien 5, 2013 Skjetten",3690000,107362,8626,3805988,4986,Leilighet,Andel,3,92 m²,110 m²,1,1975,G - rød,Flott 4-roms leilighet på bakkeplan. Vestvendt terrasse. Kjøkken og helfliset bad fra 2014. Garasjeplass. Sentralt.,
"Brønndalen 74, 5176 Loddefjord",1790000,158000,1948000,4431,0,Leilighet,Andel,1,56 m²,61 m²,2,1976,F - rød,"Flott 2-roms andelsleilighet med trappefri tilkomst, herlig terrasse, god lagringsplass og sentral beliggenhet!",
"Lægdgrinda 13, 7026 Trondheim",1930000,969809,8626,2908435,7818,Leilighet,Andel,2,63 m²,69 m²,2,2005,D - rød,Nyere 3-roms leilighet fra 2006 - Egen carport - In-ordning - Vestvendt balkong - Nærhet til marka - Ingen dok.avgift.,
"Bjerkaker sjøpark Bygg D salgstrinn 6, 9007 Tromsø",2706000,2814000,26627,5546627,7818,Leilighet,Andel,2,64 m²,67 m²,4,2021,,Bjerkaker Sjøpark - Nyoppført og innflyttingsklar 3-roms leilighet med stor og solrik balkong mot sør. Parkering.,
"Solåsen 2G, 5223 Nesttun",3790000,103320,3893320,2654,11145,Leilighet,Eier (Selveier),2,76 m²,80 m²,4,2014,C - mørkegrønn,SOLÅSEN - Stilren 3 roms selveierleilighet i 4. etasje med strålende beliggenhet. Garasjeplass.,
"Georg Frølichs vei 19, 1482 Nittedal",4650000,117592,4767592,3977,0,Leilighet,Eier (Selveier),3,80 m²,86 m²,1,2017,C - mørkegrønn,"Nyere, lekker 4-roms selveier med romslig markterrasse, garasjeplass og trappefri adkomst. Nær marka og tog.",
"Hokkåsflata 11, 8028 Bodø",2270000,376035,1132,2647167,4491,Leilighet,Andel,1,47 m²,64 m²,3,1985,E - rød,Flott og arealeffektiv 2-roms leilighet med nærhet til Mørkved Bydelssenter med Innglasset balkong,
"Åkebergveien 24B, 0650 Oslo",3500000,130301,1132,3631433,3427,Leilighet,Andel,2,46 m²,46 m²,2,1889,F - rød,Lys og moderne 3-roms med takhøyde på over 3 meter - Ny fra 2007 - Tv og bredbånd inkl. - Ingen forkjøpsrett!,
"Oppsaltoppen 17 c, 0687 Oslo",4100000,61000,8626,4169626,3587,Leilighet,Andel,2,67 m²,67 m²,2,1956,,"Tiltalende 3(4)-roms leilighet med delikat flislagt baderom, lekkert kjøkken, vestvendt balkong og med Østmarka som nabo",
"Sørkedalsveien 9A, 0369 Oslo",8250000,38000,1132,8289132,4418,Leilighet,Andel,2,65 m²,68 m²,7,2008,E - rød,Spektakulær leilighet med privat takterrasse og 12 kvm balkong |Høy standard| Heis | Garasje m/ EL | Ingen dok.avg,
"Skeisvannsvegen 15 C, 5519 Haugesund",1000000,179496,4957,1184453,3400,Leilighet,Andel,2,66 m²,66 m²,1953,3,,Sentralt - Lys og pen 3-roms leilighet med gjesterom på loft. Meget sentral og attraktiv beliggenhet tett på Idrettspark,
"Apotekergata 13, 3187 Horten",5700000,143842,5843842,2889,7016,Leilighet,Eier (Selveier),2,105 m²,132 m²,4,2012,C - mørkegrønn,"STRØKEN, oppusset selveierleilighet i 4.etg med høy finish - 2 bad/wc - Vestvendt innglasset veranda - Parkeringsplass",
"Herkulesvegen 3B, 2165 Hvam",1700000,190706,8626,1899332,4373,Leilighet,Andel,1,35 m²,37 m²,1,2000,D - rød,"Funksjonell 2-roms andelsleilighet i ende av rekkehus - Usjenert, sydvendt uteplass - Biloppstillingsplass.",
"Inges gate 31, 2004 Lillestrøm",3850000,41462,97592,3989054,3000,Leilighet,Eier (Selveier),2,65 m²,112 m²,1,1955,E - gul,"Lekker 3-roms med attraktiv og barnevennlig beliggenhet, med fine uteområder. Uinnredet kjeller. Biloppstilling.",
"Flaktveitsvingane 7, 5135 Flaktveit",2200000,159947,13353,2373300,3279,Leilighet,Andel,1,49 m²,49 m²,2,1979,,Flott leilighet nyoppført i 2017 med og parkering i garasje.,
"Strømsbuneset 9B, 4839 Arendal",2350000,70120,2420120,2000,14527,Leilighet,Eier (Selveier),2,70 m²,72 m²,1,1991,F - oransje,3-roms leilighet sentralt i Arendal - sjønær leilighet-like vest for sentrum-brygge-parkeringsplass,
"Aspesvingen 32, 9517 Alta",2990000,76092,3066092,810,10695,Leilighet,Eier (Selveier),1,52 m²,63 m²,2,2018,D - oransje,Nyere 2(3)-roms leilighet med attraktiv beliggenhet - Fin utsikt- God takhøyde - Carport med sportsbod,
"Ringkollgrenda 4E, 3227 Sandefjord",1390000,164602,1132,1555734,3114,Leilighet,Andel,1,57 m²,69 m²,5,1978,E - rød,Flott og praktisk leilighet med god beliggenhet i 5.etg. Heis. Garasje,
"Stabells gate 6, 3510 Hønefoss",3490000,70908,90342,3651250,4291,Leilighet,Eier (Selveier),4,110 m²,110 m²,3,1908,E - rød,Meget tiltalende 5-roms eierleilighet m/ balkong og heis. Fasaderehabilitering 2018. Sentralt. Godt investeringsobjekt.,
"Bentnesveien 31, 6512 Kristiansund N",790000,218527,1162,1009689,4300,Leilighet,Andel,1,56 m²,56 m²,2,1954,F - rød,"PÅMELDINGSVISNING - Pent oppusset leilighet i 1.etasje med meget flott bad, stor balkong og parkering!",
"Bergkrystallen 4, 1155 Oslo",4300000,327000,13154,4640154,3233,Leilighet,Andel,2,65 m²,65 m²,1,1952,F - rød,Rålekker nyoppusset 3-roms leilighet m/sydvendt balkong - Mulighet for trapp m/markterrasse - Peis - Flott fellesareal,
"Mortensknutveien 35A, 4372 Egersund",2290000,58592,2348592,10547,0,Leilighet,Eier (Selveier),2,63 m²,73 m²,2015,338 m² (eiet),,Flott moderne leilighet i 2.etasje med barnevennlig beliggenhet | 2 soverom | terrasse.,
"Okstadvegen 235, 7075 Tiller",3490000,88592,3578592,2112,21072,Leilighet,Eier (Selveier),2,74 m²,74 m²,1,2011,C - mørkegrønn,Moderne 3-roms fra 2011 med pen standard. TG1 på alt. Fjernvarme og balansert ventilasjon. Solrik veranda. Parkering.,
"Rodeløkka 3, 1778 Halden",840000,347801,1187801,3643,0,Leilighet,Andel,1,33 m²,47 m²,2,1972,D - rød,2-roms leilighet - sentralt- 2. etasje - innglasset balkong,
"Ragnhild Schibbyes vei 58, 0968 Oslo",2990000,518000,15554,3523554,5129,Leilighet,Andel,4,101 m²,105 m²,1976,E - rød,,Romslig og innholdsrik 5-roms andelsleilighet over to plan - Oppussingsobjekt - 2 bad/wc - 2 terrasser - Garasjeplass!,
"Solheimslien 44, 5056 Bergen",2290000,1219184,5060,3514244,8414,Leilighet,Andel,3,73 m²,91 m²,3,1965,,"Stor 4 roms leilighet med panoramautsikt | Ny fasade, balkong, ventilasjon, sentralvarme og takterrasse | BØR SEES",
"Mørtelverksbakken 25, 0580 Oslo",3850000,97592,3947592,1984,0,Leilighet,Eier (Selveier),1,41 m²,45 m²,2,2019,C - mørkegrønn,"Lys & lekker 2-roms med vestvendt balkong|Arealeffektiv planløsning|""Alt"" inkl. i lave FK|Heis|m/utbyggergaranti|Må sees",
"Presthaugvegen 3C, 5521 Haugesund",1650000,153916,5860,1809776,3703,Leilighet,Andel,2,72 m²,72 m²,1,1969,,Solvang/Presthaug - Meget tiltalende leilighet i 1. etasje - 2 soverom og gjennomgående god standard - Påkostet,
"Sjømannsvegen 17G, 6008 Ålesund",6100000,153842,6253842,4890,0,Leilighet,Eier (Selveier),3,130 m²,134 m²,2,2010,D - mørkegrønn,Tiltalende 4-roms leilighet med balkong og flott utsikt - moderne og lettstelt - 2 garasjeplasser - heis i bygget.,
"Østbysvingen 1E, 2040 Kløfta",3000000,76342,3076342,2127,4917,Leilighet,Eier (Selveier),2,73 m²,76 m²,2,1999,D - oransje,Lys og pen 3-roms selveier - Solrik terrasse - 2 soverom - Innvendig bod - Sentrumsnært,
"Olav Engelbrektssons alle 51, 7040 Trondheim",2450000,235965,10980,2696945,3567,Leilighet,Aksje,1,40 m²,40 m²,4,1955,E - rød,2-roms toppleilighet nær Ringvebukta og Ladestien. Stor vestvendt balkong med gode solforhold. Ingen dok.avg. 2 boder.,
"Frysjaveien 7B, 0883 Oslo",4900000,172027,8626,5080653,4109,Leilighet,Andel,2,66 m²,66 m²,3,1953,D - rød,Flott gjennomgående 3-roms - Solrik balkong m/flott utsikt - Barnevennlig - P-plass - Sentralfyr - Ingen dok.avg,
"Gymnasgata 4, 8300 Svolvær",2750000,88099,5232,2843331,0,Leilighet,Eier (Selveier),63 m²,63 m²,1969,G - oransje,464 m² (eiet),,Oppgradert 3-romsleilighet med nydelig utsikt | Endeleilighet | Kjøkken og bad fra 2020 | Stor veranda |,
"Tunveien 24 (leil. B601), 1820 Spydeberg",6390000,34065,6424065,4302,0,Leilighet,Eier (Selveier),2,109 m²,114 m²,6,2020,C - mørkegrønn,"Spydeberg // Ny toppleilighet på hele 114 kvm med stor, delvis overbygd takterrasse, heis og garasjeplass",
"Margarethas vei 1, 1473 Lørenskog",2400000,6610,61342,2467952,2084,Leilighet,Eier (Selveier),0,28 m²,29 m²,4,2004,C - mørkegrønn,Pen 1-roms leilighet i 4. etasje med heis og garasjeplass -Meget sentralt -Perfekt førstegangskjøp/utleieobjekt,
"Hans Aanruds veg 11B, 2618 Lillehammer",3250000,320165,1132,3571297,5994,Leilighet,Andel,3,78 m²,78 m²,4,1962,G - mørkegrønn,Attraktivt beliggende 4-roms toppleilighet med nyere kjøkken og bad. Garasje og veranda. Kort vei til bl.a. NTG.,
"Asperudtoppen 38, 1258 Oslo",3700000,259478,8557,3968035,4406,Leilighet,Andel,2,81 m²,84 m²,4,1981,G - mørkegrønn,MÅ OPPLEVES! Attraktiv og påkostet toppleilighet med vidstrakt utsikt - Gode solforhold - VV og fyring inkludert.,
"Vestre Solhellinga 5C, 2067 Jessheim",3750000,95092,3845092,1275,4985,Leilighet,Eier (Selveier),3,86 m²,90 m²,1,2001,E - oransje,"Romslig og attraktiv 4-roms selveierleilighet fra 2001. Solrik terrasse, garasjeplass og boder. Barnevennlig beliggenhet",
"Sørengkaia 39, 0194 Oslo",12900000,323842,13223842,5033,0,Leilighet,Eier (Selveier),3,120 m²,124 m²,2,2016,C - mørkegrønn,Lys 4-roms med skjermet beliggenhet & sjøutsikt fra to balkonger - Garasjeplass m elbil lader - To bad - Heis - Bør ses!,
"Gjerdrumsgata 24, 2000 Lillestrøm",3890000,98592,3988592,1967,0,Leilighet,Eier (Selveier),1,46 m²,46 m²,2,2017,B - mørkegrønn,"Attraktiv 2-roms fra 2017 i Lillestrøm med god takhøyde, heis og balkong. Din egen suitte midt i byen!",
"Slettheiveien 66, 4626 Kristiansand S",1690000,317840,2007840,5387,0,Leilighet,Andel,3,87 m²,104 m²,2,1968,G - rød,"Stor innbydende 4-roms leilighet med stor innglasset balkong, nyere kjøkken og bad. Parkering.",
"Ligata 30, 3912 Porsgrunn",2950000,75092,3025092,1200,17076,Leilighet,Eier (Selveier),3,93 m²,97 m²,1,2015,B - rød,Lekker 4-roms selveierleilighet med alt på en flate - 1. etasje. Lave fellesutgifter.,
"Bentsebrugata 13J, 0476 Oslo",7950000,201292,8151292,2069,0,Leilighet,Eier (Selveier),3,80 m²,80 m²,4,1959,,Lekker 4-roms endeleilighet fra 2021 med heis og solrik parsell på takterrasse. Rett ved Akerselva!,
"Trålveien 21, 8013 Bodø",2890000,73420,2963420,2421,10145,Leilighet,Eier (Selveier),1,60 m²,71 m²,1,2010,D - rød,Stor og flott 2-roms hjørneleilighet i 1.etg fra 2010 - Heis og garasje - Felles takterrasse med jacuzzi!,
"Auglendsveien 20A, 4019 Stavanger",2690000,75820,2765820,1650,5438,Leilighet,Eier (Selveier),2,52 m²,52 m²,2,2005,D - oransje,Auglend | Flott 3-roms leilighet med ekstra takhøyde | Solrik balkong og fast parkering,
"Kleppekjærmyra 14 A, 4885 Grimstad",1690000,50692,1740692,1289,0,Leilighet,Eier (Selveier),1,48 m²,52 m²,1,2014,,Lys 2-roms selveierleil. med terrasse og solrik beliggenhet. Carport og bod medfølger. VISN 30.6. PÅMELDING,
"Jegerveien 25, 0777 Oslo",14300000,358842,14658842,5320,0,Leilighet,Eier (Selveier),2,137 m²,143 m²,2,1995,E - rød,Alt du trenger på en flate. Endeleilighet på 143 kvm med stor terrasse - Utsikt og sol kl.10-20. Heis - Peis - 2 Gar.pl.,
"Astrids vei 13, 1473 Lørenskog",7550000,10391,200052,7760443,6147,Leilighet,Eier (Selveier),4,137 m²,140 m²,2,2018,D - mørkegrønn,"Stor 6-roms leilighet + eksklusiv utleieleilighet med 11.847,- leieinntekt i mnd. 2 garasjeplasser og balkong på 9 m².",
"Bjarne Eriksensvei 2, 8160 Glomfjord",200000,485759,1132,686891,5015,Leilighet,Andel,1,43 m²,43 m²,1,2008,D - rød,Lys og praktisk 2-roms leilighet,
"Prokurator Torps gate 8, 3613 Kongsberg",975000,198030,1132,1174162,3950,Leilighet,Andel,1,31 m²,31 m²,1,1960,G - rød,Kongsberg Sentrum - Lys og tiltalende 2-roms leilighet med gangavstand til bysentrum.,
"Apanesveien 85, 9512 Alta",2250000,325683,6632,2582315,5175,Leilighet,Andel,1,61 m²,65 m²,1,2006,D - oransje,"VISNING 28/6, KL.17.30-APANES: Velholdt og moderne 2-roms leilighet med 2 terrasser og nydelig utsikt over Altafjorden!",
"Trondhjemsvegen 5, 2821 Gjøvik",2390000,266046,8012,2664058,6075,Leilighet,Andel,2,71 m²,77 m²,1,2001,D - rød,Gjøvik - Sentral og moderne 3-roms leilighet i 1.etasje - innglasset balkong - garasjeplass i fellesanlegg i kjeller.,
