Address,Prisantydning,Fellesgjeld,Omkostninger,Totalpris,Felleskost,Boligtype,Eieform_bolig,Soverom,Primærrom,Bruksareal,Etasje,Byggeår,Energimerking,Beskrivelse,Eiendomsmegler
"Jonas Lies vei 1, 5053 Bergen",2990000,248982,13460,3252442,3400,Leilighet,Aksje,2,58 m²,58 m²,3,1949,G - oransje,Midt mellom fjell og byliv! Super 3- roms leilighet med solrik balkong og utsikt- ingen dok. avgift.,Proaktiv Småstrandgaten
"Dues vei 38, 4023 Stavanger",2590000,168051,77192,2835243,3399,Leilighet,Eier (Selveier),1,51 m²,63 m²,2,1971,,"Lys og innbydende leilighet med solrik, innglasset balkong i attraktive og sentrale omgivelser.",Proaktiv Stavanger
"Gløshaugveien 4, 7030 Trondheim",3700000,100742,3800742,16040,0,Leilighet,Eier (Selveier),2,72 m²,72 m²,1,1939,E - oransje,"Lekker selveier med utleiemulighet. Solrik balkong og grønne fellesområder. Sentralt og rolig, med nærhet til ""alt"".",Proaktiv Trondheim
"Nordre Hallsetveg 88F, 7023 Trondheim",2690000,163629,5432,2859061,4295,Leilighet,Andel,2,63 m²,63 m²,1,1955,G - oransje,"Trivelig 3-roms leilighet i en høy 1.etg med herlig vestvendt balkong, pent kjøkken og vedovn. Rolig, men sentralt.",Proaktiv Trondheim
"Bjørnslettvegen 19, 3917 Porsgrunn",960000,73942,5732,1039674,4035,Leilighet,Andel,1,30 m²,46 m²,2,1960,,"Sentral, tiltalende 2-roms andelsleilighet. Gangavstand USN, skoler, idrettsanlegg og sentrum",Propr.no
"Tastatunet 46, 4027 Stavanger",1700000,2473361,5232,4178593,10380,Leilighet,Andel,3,79 m²,106 m²,1,2013,,"Unik ende leilighet i høy 1 etasje, 2,70 takhøyde, to innglassede balkonger og fantastiske solforhold.",Propr.no
"Fayes gate 18, 0455 Oslo",3950000,39638,5232,3994870,2094,Leilighet,Andel,1,37 m²,37 m²,2,1919,,LINDERN HAGEBY - Lys og lekker 2-roms leilighet - lave fellesutgifter - lave omkostninger,Propr.no
"Magnus Bergs gate 3C, 0266 Oslo",6590000,46763,174642,6811405,3431,Leilighet,Eier (Selveier),2,61 m²,61 m²,5,1905,,Frogner - Luftig og velholdt 3-roms toppleilighet med hems og sydvestvendt takterrasse. Utbyggingspotensiale.,Propr.no
"Nattfiolen 17, 3086 Holmestrand",3590000,25000,99112,3714112,2368,Leilighet,Eier (Selveier),4,108 m²,113 m²,2,2016,,"Tiltalende og innholdsrik 5-roms selveierleilighet - ""Easy way of living"" i rolige og naturskjønne omgivelser",Propr.no
"Gartnersvingen 8B, 2032 Maura",2550000,72492,2622492,1284,0,Leilighet,Eier (Selveier),2,50 m²,50 m²,1,2020,,"Moderne 3-roms selveierleilighet med effektiv planløsning, terrasse og hage. Carport med elbil-lader og sportsbod.",Propr.no
