Address,Prisantydning,Fellesgjeld,Omkostninger,Totalpris,Felleskost,Eieform_bolig,Soverom,Primærrom,Bruksareal,Etasje,Byggeår,Energimerking,Beskrivelse,Eiendomsmegler,balkong,utsikt,garasje,heis,parkering,sentrum,toppleilighet,By,Alder,simp_megler,Energimerking_encoded,Aksje,Andel,Selveier
"Grenseveien 11D, 0571 Oslo",4100000,237000,8626,4100000,4536.0,Andel,1,59.0,59.0,4,1936,F - mørkegrønn,"Gjennomgående 2(3)-roms toppleil. - Solrik balkong - Utsikt - Fyring, varmtvann inkl. - IN-ordning - Svært sentralt!",Krogsveen avd. Sagene,1,1,0,0,0,1,0,Oslo,85,Krogsveen,8.0,0,1,0
"Maridalsveien 192, 0469 Oslo",4890000,97737,8926,4890000,2447.0,Andel,1,66.0,66.0,4,1980,G - rød,"Moderne, lys, topp-endeleil. | Gjennomgående med store vindusflater | Solrik takterrasse | Bad fra 2019 | Garasjeleie",Krogsveen avd. Sagene,0,0,1,0,0,0,0,Oslo,41,Krogsveen,1.0,0,1,0
"Skolegata 3, 3210 Sandefjord",2990000,76092,0,3066092,317.05,Selveier,2,65.0,65.0,2,2002,D - rød,Selveierleilighet midt i sentrum - Romslig balkong - Heis - Koselig bomiljø - Veletablert nabolag,Krogsveen avd. Sandefjord,1,0,0,1,0,1,0,Sandefjord,19,Krogsveen,15.0,0,0,1
"Snipeveien 3B, 4318 Sandnes",1890000,157960,9126,1890000,3162.0,Andel,1,61.0,61.0,1,1975,G - rød,Attraktiv 2-roms leilighet på bakkeplan med garasje og stor solrik inngjerdet hage mot sør-vest.,Krogsveen avd. Sandnes,0,0,1,0,0,0,0,Sandnes,46,Krogsveen,1.0,0,1,0
"Storhaugveien 16, 4014 Stavanger",2840000,53787,72467,2840000,3217.0,Selveier,1,64.0,142.0,1,1982,G - rød,"Innholdsrik og spennende leilighet med en sentral beliggenhet på Storhaug. Solrik terrasse, parkering samt heis.",Krogsveen avd. Stavanger,0,0,0,1,1,0,0,Stavanger,39,Krogsveen,1.0,0,0,1
"Hanaveien 21A, 4327 Sandnes",2890000,76092,0,2966092,317.05,Selveier,2,68.0,72.0,4,2015,B - rød,Nydelig endeleilighet i 4. etg med 2 soverom. Lun terrasse på 12 kvm. Heis. Parkering i lukket anlegg.,Krogsveen avd. Stavanger,0,0,0,1,1,0,0,Sandnes,6,Krogsveen,26.0,0,0,1
"Astraveien 44, 4021 Stavanger",2590000,258900,8626,2590000,4338.0,Andel,2,85.0,89.0,3,1979,E - rød,Flott og innholdsrik leilighet i 3 etasje med god planløsning. En balkong og en terrasse. Parkering i lukket garasje.,Krogsveen avd. Stavanger,1,0,1,0,1,0,0,Stavanger,42,Krogsveen,10.0,0,1,0
"Badehusgata 45, 4014 Stavanger",5190000,9126,0,5199126,38.025,Andel,3,97.0,100.0,6,2006,F - rød,BUD foreligger til 28.06 kl 12. Stor 4-roms toppleilighet med to balkonger beliggende helt i sjøkanten med flott utsikt.,Krogsveen avd. Stavanger Øst,1,1,0,0,0,0,1,Stavanger,15,Krogsveen,6.0,0,1,0
"Sandeidgata 7, 4012 Stavanger",2690000,68592,0,2758592,285.8,Selveier,1,67.0,67.0,3,1919,D - oransje,Leilighet med særpreg i flott murhus beliggende på Storhaugs beste vestkant.,Krogsveen avd. Stavanger Øst,0,0,0,0,0,0,0,Stavanger,102,Krogsveen,16.0,0,0,1
"Gyldenløves gate 2A, 7014 Trondheim",2590000,66092,0,2656092,907.6666666666666,Selveier,1,35.0,35.0,3,1898,G - rød,Tiltalende selveierleilighet med ypperlig beliggenhet i byggets øverste etasje |Lave felleskostnader |Sentralt boområde,Krogsveen avd. Trondheim,0,0,0,0,0,1,0,Trondheim,123,Krogsveen,1.0,0,0,1
"Okstadvegen 345, 7075 Tiller",3590000,91092,0,3681092,700.0,Selveier,2,74.0,74.0,2,2010,C - mørkegrønn,"3-roms selveier fra 2010 med upåklagelig utsikt og lang solgang. Stor veranda, parkering, lave felleskost, TG0/1 på alt",Krogsveen avd. Trondheim,0,1,0,0,1,0,0,Tiller,11,Krogsveen,22.0,0,0,1
"Kirkerønningen 83, 3145 Tjøme",1500000,1191776,9126,1500000,7918.0,Andel,2,68.0,72.0,2,2007,E - oransje,"Lekker, delikat og høytbeliggende endeleilighet i 2.etg. En fantastisk veranda med sol fra morgen til kveld. Carport med",Krogsveen avd. Tønsberg,0,0,0,0,0,0,0,Tjøme,14,Krogsveen,11.0,0,1,0
"Nørvegata 30C, 6008 Ålesund",1650000,476977,1132,1650000,4746.0,Andel,2,64.0,64.0,1,1956,F - oransje,3-roms andelsleilighet med sydvendt balkong på 13 m2|Flott utsikt|Parkeringsplass|Veldrevet privat borettslag|Lave kjøps,Krogsveen avd. Ålesund,1,1,0,0,1,0,0,Ålesund,65,Krogsveen,7.0,0,1,0
"Vestre Aspehaug 6, 6010 Ålesund",2300000,130655,1132,2300000,3760.0,Andel,2,77.0,78.0,3,1981,F - rød,Andelsleilighet med balkong|Garasje|Solrikt og flott utsikt|Kort veg til Moa,Krogsveen avd. Ålesund,1,1,1,0,0,0,0,Ålesund,40,Krogsveen,6.0,0,1,0
"Nedre Strandgate 43A, 6005 Ålesund",3590000,91092,0,3681092,379.55,Selveier,3,81.0,84.0,3,2016,B - mørkegrønn,Bølgen Atrium - Lekker og tiltalende 4-romsleilighet | Heis | Parkeringsplass tilrettelagt for lading | Fjernvarme,Krogsveen avd. Ålesund,0,0,0,1,1,0,0,Ålesund,5,Krogsveen,28.0,0,0,1
"Eystein Orres gate 11, 6005 Ålesund",2100000,53842,0,2153842,224.34166666666667,Selveier,1,65.0,65.0,1,1959,E - gul,2-roms selveierleilighet med sørvest-vendt balkong | Lave felleskostnader | Peis | Utsikt |,Krogsveen avd. Ålesund,1,1,0,0,0,0,0,Ålesund,62,Krogsveen,14.0,0,0,1
"Moa park 4, 6018 Ålesund",1600000,249000,1132,1600000,5155.0,Andel,1,57.0,62.0,6,1999,D - mørkegrønn,Andelsleilighet med sentral beliggende på Moa | 1 soverom | Vestvendt balkong | Heis | Livsløpstandard,Krogsveen avd. Ålesund,1,0,0,1,0,0,0,Ålesund,22,Krogsveen,17.0,0,1,0
"Brunholmgata 1C, 6004 Ålesund",6800000,4188,171342,6800000,3458.0,Selveier,2,127.0,130.0,1,1988,F - rød,Stor og tiltalende eierleilighet med unik beliggenhet i sjøkanten i Brosundet|2 soverom|2 balkonger,Krogsveen avd. Ålesund,1,0,0,0,0,0,0,Ålesund,33,Krogsveen,6.0,0,0,1
