Address,Prisantydning,Fellesgjeld,Omkostninger,Totalpris,Felleskost,Boligtype,Eieform_bolig,Soverom,Primærrom,Bruksareal,Etasje,Byggeår,Energimerking,Fasiliteter,Beskrivelse,Eiendomsmegler
"Christian Krohgs gate 30, 0186 Oslo",4 890 000 kr,1 456 078 kr,8 032 kr,6 354 110 kr,6 354 110 kr,Leilighet,Andel,2,92 m²,92 m²,6,1903,G - mørkegrønn,"[<selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""c3d66336-b63c-48b6-bedf-92e0addab012"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""3836527c-733d-442b-b7cd-69c731cdef7b"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""117010bf-0b9d-4c63-a5fa-2fee5890fc6f"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""5449126c-3476-4bb9-9ab7-766a6ae28763"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""e51e71c1-9a47-4cb1-82df-4a3692f5bffa"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""61142715-efde-4db9-94a9-94b8f31fba6e"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""4de3b395-30e2-49f4-94cc-f9a39c8efd3d"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""540b6ad4-ef1c-48cf-8319-876f29255552"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""c7b1c146-a437-4bc2-8288-3cddfc87a095"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""1c9607b8-5642-407c-a0b8-3105373ffb84"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""1baf6428-5620-42c3-a5de-952784a5d07d"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""ee40f4d4-4d96-4d01-9434-34ef79d939a5"")>]",Lys og moderne leilighet over 2 plan med utleiedel. Heis og felles takterrasse. IN-ordning. Alt ink i felleskostnader.,Nordvik Nydalen
"Parkveien 6B, 0350 Oslo",4 390 000 kr,89 000 kr,113 312 kr,4 592 312 kr,4 592 312 kr,Leilighet,Eier (Selveier),1,50 m²,52 m²,1,1899,G - rød,"[<selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""eb212e8e-c3d3-4175-901a-8fab12e2cb38"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""68971c25-607d-4c9b-9071-b74826454537"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""e21dc743-12f5-4459-bd75-39ab9f20a259"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""94545302-a647-48a2-b5af-9248fb116098"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""877e5516-a0b0-4790-b7c1-edc168daa803"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""0f9121bb-e4a8-4001-bf58-38d10326115b"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""89e93f23-cecc-4b61-b4f1-a30c6aad5ab7"")>]",Lys og attraktiv 2-roms eierleilighet med god standard og fransk balkong - Indre gård,Nordvik Frogner
"Gaupefaret 6, 0774 Oslo",5 000 000 kr,78 000 kr,133 995 kr,5 211 995 kr,5 211 995 kr,Leilighet,Eier (Selveier),2,55 m²,55 m²,2,1952,G - oransje,"[<selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""46b3127e-0b1e-43de-81b1-7b24ae4a7432"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""228bde7d-0bc9-4cb3-b0d8-b62b14355af4"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""cd9af4b8-d4d4-40de-9d7b-64f485da8b8d"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""04be4c8e-93e0-4396-bd4e-c3f1555857e6"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""f5aaf1d7-fe2d-4515-88ff-29f97eac78ef"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""21b46057-06f2-42b6-8cc3-844fdbc3358c"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""1a593038-c2b5-43b1-8240-af1919be572a"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""e1288fef-6e1b-438a-b72b-3197aadfbeca"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""dffca1c1-8fe4-48f0-ab94-1fc7c7444820"")>]",Innbydende og moderne 3-roms leilighet i hyggelige omgivelser. Vestvendt balkong. Peis. Oppusset 2021. Parkering*,EIE eiendomsmegling Vinderen
"Malerhaugveien 28, 0661 Oslo",2 127 000 kr,-1,-1,-1,-1,74 - 101 m²,2 - 3,Leilighet,Andel,-1,-1,-1,-1,-1,ENSJØ - 79 leiligheter med tilbaketrukket beliggenhet og gode solforhold - Ferdig jun - aug 2022 - KUN 4 ENHETER IGJEN!,EiendomsMegler 1 Nybygg OA
"Schønings gate 5B, 0356 Oslo",4 600 000 kr,213 742 kr,8 032 kr,4 821 774 kr,4 821 774 kr,Leilighet,Andel,1,42 m²,42 m²,5,1895,G - rød,"[<selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""7f6ada16-a092-40ba-94af-23797db75272"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""8400ba27-be10-4529-b785-d5a2e1256075"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""ef7b2087-7d45-4c25-820a-813c306380db"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""62846ff6-16bc-447a-8c11-9e42932e38fa"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""f15e9210-9afb-4e32-83d5-a484af206852"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""3cbb790f-f036-4bbc-a3cb-bf6576184af0"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""79709370-c491-46a8-b696-c1145afd6d08"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""a1a5ef20-a62b-4db2-b8d8-f57375947776"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""265c1680-945a-4691-9eb7-3a173823ad5f"")>]",Stilren toppleilighet med sydvendt takterrasse. Ingen dok.avgift. 50m2 gulvareal. Varmtvann og TV/Inett inkl.,PrivatMegleren Park
"Fredensborgveien 21B, 0177 Oslo",6 490 000 kr,95 269 kr,176 162 kr,6 761 431 kr,6 761 431 kr,Leilighet,Eier (Selveier),2,65 m²,65 m²,1900,3,-1,"[<selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""8dee8b60-a5e1-491d-be13-74c3b7df23c4"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""c223e013-e830-4781-b654-75865c5de4a3"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""5eb25bd6-24a4-4851-b744-1eb8593f14df"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""2c4bd0fa-583c-463a-bb97-3ceedf48e258"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""bc162523-9229-4092-a67d-3a14f6bfb7c1"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""da615457-c13d-4de0-a7b1-bc4e420de720"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""83039357-270b-47e4-9676-f1e93f94d038"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""856262d4-4499-4a82-95c8-cdb0913fcb72"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""21b7ae3f-debb-487e-9980-7690a21685c6"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""27e44c57-c074-4bf2-a470-aa3ef253afcb"")>]","Delikat & romslig 3(4)-roms med et gjennomført, eksklusivt preg - Betydelig oppusset i 2021 - Må ses!",Aktiv Grünerløkka
"Sognsveien 66A, 0855 Oslo",3 990 000 kr,101 092 kr,4 091 092 kr,2 299 kr,2 299 kr,Leilighet,Eier (Selveier),1,43 m²,43 m²,2,2010,C - rød,"[<selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""95c61f87-33ae-4d28-af46-83c31be3217b"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""45443962-e769-47be-a756-c8702ee7d7ad"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""a658a9bd-6018-46eb-afa7-37a730b84ebb"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""1286bae8-5ee0-4e5f-98b2-7c6c6e48f5b4"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""c8670eba-75a0-455e-8cb4-2fe4147fd783"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""5edcc010-7ae4-4112-8752-34c95b70558d"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""28b3d67a-e8df-4eac-9008-db1197d3c334"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""b8e38fd7-ea8c-4777-b710-dff56e2f3eae"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""4696876f-1e70-4ee4-a47e-8e6891670c72"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""ae081775-efcc-4c69-9066-3c0d65f700c3"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""78546a5a-8ff3-4d55-a448-8958b121abb8"")>]","NY PRIS! ATTRAKTIV 2-ROMS M/BALKONG & HEIS: Kun 2.299,- felleskost i mnd. Bygg fra 2010. Rett v/butikker, kafeer & tbane",Nordvik Bislett
"Årvollveien 23B, 0590 Oslo",4 800 000 kr,121 342 kr,4 921 342 kr,1 611 kr,1 611 kr,Leilighet,Eier (Selveier),1,53 m²,56 m²,1,2021,B - mørkegrønn,"[<selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""1f82ceeb-fda4-4f6d-a022-6ec29925a13a"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""d7f91141-e127-4518-bdb7-220d8a99ce45"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""c6b77771-d752-4c11-80dc-b1e9b564e8a1"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""a5f5ce08-230c-4d52-9321-3e1978bed5df"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""c928546f-a98b-4197-bcb1-33e50a414a23"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""dab879ac-34bf-487d-b888-b6125c6a9c8a"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""719f928c-4d06-486a-ba52-e3a9160079c9"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""5d78bfe6-d15e-41a8-ad6b-e7f14fd064d6"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""82cf01c9-59cd-49fb-a1ce-8f0709aface4"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""51a2e946-a8aa-46fb-beff-dec0c4ae13a9"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""e7ad02cd-3f79-4379-991c-d7d89db1447b"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""3326c6b5-9a37-42bd-9288-7a1e5b6b7937"")>]","Helt ny, ubebodd leilighet med tilknytning til Årvoll Senter. Perfekt for senior",-1
"Ullern allé 57, 0381 Oslo",12 290 000 kr,46 830 kr,319 942 kr,12 656 772 kr,12 656 772 kr,Leilighet,Eier (Selveier),4,135 m²,141 m²,3,1982,G - oransje,-1,Eksklusiv & nyoppusset 5-roms topp/endeleil. ALT NYTT. 4 sov - 2 bad + vaskerom - garasje - peis - 2 solrike terrasser,Sem & Johnsen
"Sørkedalsveien 227, 0754 Oslo",17 000 000 kr,440 670 kr,17 440 670 kr,-1,-1,Tomannsbolig,Eier (Selveier),7,279 m²,318 m²,1948,10,-1,"[<selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""5d3c0662-550a-4064-843c-8e37da73dfc1"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""ff536345-0854-46e0-ba9a-e4e7e0d3d75c"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""e12a13f1-595e-4d84-b544-1176978a008d"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""ddb6cd98-f0f0-4c48-9f85-4321fe500bda"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""cc9370fd-7837-429e-9dbc-9047467d7bae"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""2b8656d7-3318-445c-ae33-d503eb0506cc"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""992dfed8-a601-49b5-8ef9-4b8bb33c0c83"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""d1e848b7-0268-45a1-9f80-3b3e767bfb38"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""5b5afe6d-f71f-4f83-a457-9ae30e2d7014"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""9d9d6a64-d8d3-4f69-8257-48d1fa9e504b"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""79f79054-5a8c-43c8-890f-d45a1262c8c7"")>]","Hel tomannsbolig over 3 plan på 318 m² med flott utsikt mot Holmenkollåsen I Dobbel Garasje I Stor, idyllisk hage",PrivatMegleren Panorama
"Lørenveien 48C, 0585 Oslo",5 000 000 kr,126 342 kr,5 126 342 kr,2 639 kr,2 639 kr,Leilighet,Eier (Selveier),2,60 m²,60 m²,2,2012,-1,"[<selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""718848eb-d1f7-4c65-9e4f-0cc3647f54ae"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""ea648525-41d5-4773-b2d8-3284ca460903"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""32d58009-a28e-4ed9-acdf-a0af4515a361"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""08f4afea-3553-4cb2-a609-9e81a39f7dce"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""80689a7d-bc00-4ab7-b976-a97c21b07a0e"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""d8443455-3c21-4381-994f-d4eb0870f212"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""501e3145-706e-4053-b7ff-294e6b7fc91e"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""18d946a5-af4a-4890-b0e1-6b2717441898"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""d1df1c6f-0e58-49e8-826d-d5a4b62c0faf"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""b3e22073-a250-4b68-99e6-300b7cac2152"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""42b9b471-0127-431b-8eb4-b5697ddcc0c6"")>]",Attraktiv 3-roms leilighet med sentral beliggenhet. Trappefri adkomst. Romslig balkong med gode solforhold.,-1
"Gregers Kvartal Brl Bygg B, 0585 Oslo",2 340 000 kr,-1,-1,-1,-1,58 - 92 m²,2 - 3,Leilighet,Andel,B - mørkegrønn,-1,-1,-1,-1,Gregers Kvartal - Bygg B - fortsatt ledige leiligheter.,Sem & Johnsen
"Blåsbortveien 16B, 0873 Oslo",15 900 000 kr,155 813 kr,402 712 kr,16 458 525 kr,16 458 525 kr,Rekkehus,Eier (Selveier),4,181 m²,209 m²,1959,G - oransje,-1,"[<selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""1c4d3a63-1954-45e2-9d2a-ee6852e54d39"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""9d931ec2-7e2d-4f98-8ad9-1d65f6bd9500"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""4771d342-f762-4ed5-92f8-dcc613c362bb"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""01af058d-4605-4e29-b014-736a40d7f22d"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""57d351bf-4198-4e9d-9f4c-37dd288b8052"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""1d0e87f8-1549-4d47-b505-3df15b382b26"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""4f830684-1fd3-4a02-bdbe-37ce071257f1"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""f4d4900c-29c0-42c9-8eae-5321b4f93b3d"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""c33f244c-793e-4b86-b0ba-bfe4a67cd61a"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""16619bcf-f0e2-443f-977c-16ca948145da"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""81b51275-c6f6-48cf-a2b9-2b5656bb9c07"")>]","Enderekkehus med praktfull beliggenhet ved Lødrupskogen | Garasje | Tilbaketrukket, stille og barnevennlig",Nordvik Ullevål
"Guldbergs vei 38, 0375 Oslo",14 950 000 kr,389 420 kr,15 339 420 kr,2 000 kr,2 000 kr,Tomannsbolig,Eier (Selveier),4,130 m²,132 m²,2014,1312 m² (eiet),-1,"[<selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""1a266469-e06c-427e-8b4a-74e615923d48"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""3fed53b0-e83a-4ad6-9578-6500f83687e7"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""606c9c0e-0abb-4ccd-9df4-861fa77baa29"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""2d8aa413-8219-42e9-ad87-741f57c38708"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""cd2db680-f29e-41d5-96ed-2937514754ad"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""e567b0f1-f2a3-4806-80f4-15bc3af59a20"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""b13e1ec3-992c-48cc-bb08-3af29bd88d58"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""01fb3690-b27f-4b33-9c52-4090563593da"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""7b97c002-c90c-41b3-ac1e-a4b9f5c46eea"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""25fac96d-f1e0-4076-9f47-3a9002cba788"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""15919738-e752-4d26-819a-41419ae2af2e"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""074ec232-5fb9-4763-b249-c9ea26c64e2b"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""7318f6be-4416-4704-89e5-71e7072b4d01"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""e0f30d07-3850-4952-baf0-ad721c19b2ba"")>]",Nyere (2014) familiebolig med solrik takterrasse og suveren beliggenhet | Garasje og carport | 4 soverom | 2 innganger,PrivatMegleren Allé
"Stallerudveien 119, 0693 Oslo",3 190 000 kr,211 000 kr,8 626 kr,3 409 626 kr,3 409 626 kr,Leilighet,Andel,1,57 m²,57 m²,2,1990,D - rød,"[<selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""ad7bf21e-1d38-4d89-900f-28a9f76ccfbb"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""38c2b730-1c23-407e-b0de-9ba6d9b23729"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""e0149683-b52b-4f07-852c-646400d21005"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""cccc8b66-5737-445a-bc27-75f8f5c0d418"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""6735a8f4-4f33-4fc2-a7e6-0f171694b32b"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""0bf760f2-d32c-4cc6-8b02-a337ce8f18c7"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""f173a0ee-a792-4a66-8347-d302d91be328"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""4c88d2c0-13b3-488b-bcd3-ecf428416d05"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""6bca4887-d333-460e-bd29-af143abf1395"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""6c6fe4ab-7329-418e-af3c-559cb90f6318"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""5048eefd-bbec-4d27-9686-8f35d32ba6c1"")>, <selenium.webdriver.remote.webelement.WebElement (session=""2785c73fb08dd35bc3eafe1e716c021c"", element=""4c116ff3-c8d7-4243-ac6f-33caeec620b9"")>]","Stor og hyggelig 2,5-roms i 2. etg. med heis og utgang til solrik balkong, ettermiddags- og kveldssol. Garasjeleie*",-1
