Address,Prisantydning,Fellesgjeld,Omkostninger,Totalpris,Felleskost,Boligtype,Eieform_bolig,Soverom,Primærrom,Bruksareal,Etasje,Byggeår,Energimerking,Beskrivelse,Eiendomsmegler,balkong,utsikt,garasje,heis,parkering,hage,sentrum,toppleilighet,Alder,Energimerking_encoded,Aksje,Andel,Selveier
"Jens Bjelkes gate 61, 0650 Oslo",4300000.0,0.0,124320.0,4424320.0,3656.0,Leilighet,Selveier,1,48.0,50,4,2014,C - mørkegrønn,2-roms Toppleilighet med sydøstvendt takterrasse på 19 m2. Heis. Bygg fra 2014. Varmtv/fyring inkl.,PrivatMegleren,0,0,0,1,0,0,0,1,7,22.0,0,0,1
"Lyberget 7, 1295 Oslo",20000000.0,0.0,501342.0,20501342.0,672.08,Enebolig,Selveier,5,20.78,20781,1,1901,F - mørkegrønn,Enebolig med tomt på hele 20.780 kvm. Mulighetsstudie for eiendommen foreligger.,Krogsveen,0,0,0,0,0,0,0,0,120,8.0,0,0,1
"Økernveien 183, 0584 Oslo",5200000.0,31855.0,132112.0,5363967.0,5363967.0,Leilighet,Selveier,2,72.0,72,1,1939,G - rød,"Moderne 3-roms med sydvestvendt terrasse på 13,5 m² - Felles hage - Biloppstillingsplass - Barnevennlig - Peis",Ukjent,0,0,0,0,0,1,0,0,82,1.0,0,0,1
"Olaf Bulls vei 17, 0765 Oslo",4150000.0,229432.0,8626.0,4388058.0,4388058.0,Leilighet,Andel,1,54.0,54,1,1981,C - rød,"Nydelig 2R beliggende på Holmenkollens solside- 12m² balkong m. fantastiske utsiktsforhold- Garasje- Kort vei til ""alt""",Ukjent,1,1,1,0,0,0,0,0,40,20.0,0,1,0
"Treschows gate 17F, 0470 Oslo",4200000.0,219000.0,15526.0,4434526.0,4434526.0,Leilighet,Andel,1,49.0,49,4,1939,D - gul,Moderne og gjennomgående 2(3)-roms ved Akerselva - Solrik balkong - Separat kjøkken 2020 - V.vann & fyring inkl.,Aktiv,1,0,0,0,0,0,0,0,82,19.0,0,1,0
"Smedgata 34, 0651 Oslo",3500000.0,27358.0,9126.0,3536484.0,3536484.0,Leilighet,Andel,0,40.0,40,2,1964,F - mørkegrønn,"Attraktiv leilighet på 40 kvm i populært område. Gangavstand til sentrum, heis, garasjeleie, fyring og varmtvann inkl",Krogsveen,0,0,1,1,0,0,1,0,57,8.0,0,1,0
"Tromsøgata 22 A, 0565 Oslo",11700000.0,0.0,308142.0,12008142.0,2340.0,Enebolig,Selveier,2,102.0,106,1,1878,G - oransje,"Sjelden anledning! Råflott enebolig over 3 plan med høy standard fra 2017, flott felles hage og stor balkong på 11 kvm.",PrivatMegleren,1,0,0,0,0,1,0,0,143,2.0,0,0,1
"Erich Mogensøns vei 36, 0594 Oslo",3200000.0,247838.0,6782.0,3454620.0,3454620.0,Leilighet,Andel,2,74.0,84,8,1964,G - mørkegrønn,"3(-4) roms renoveringsobjekt i ""Gullblokka!"" Endeleilighet i 8. etg |Fantastisk utsikt og vestvendt balkong",Ukjent,1,1,0,0,0,0,0,0,57,3.0,0,1,0
"Thor Olsens gate 6B, 0177 Oslo",4450000.0,10000.0,7627.0,4467627.0,4467627.0,Leilighet,Andel,1,46.0,46,4,1893,G - gul,"Klassisk 2-roms i 4. etasje med balkong, nyere kjøkken og sentral beliggenhet. God takhøyde og rosett/stukkatur.",Krogsveen,1,0,0,0,0,0,0,0,128,5.0,0,1,0
"Skøyenåsveien 14, 0686 Oslo",3950000.0,59000.0,8658.0,4017658.0,4017658.0,Leilighet,Andel,2,64.0,64,4,1954,G - lysegrønn,Lekker 3-roms | Stor balkong m/ flott utsikt | Sentralfyring | Super beliggenhet | Lave omkostninger | Nær marka!,Notar,1,1,0,0,0,0,0,0,67,4.0,0,1,0
"Valkyriegata 9, 0366 Oslo",14950000.0,514.0,385292.0,15335806.0,15335806.0,Leilighet,Selveier,2,121.0,121,5,1900,F - oransje,"Rålekker og nyoppusset 3/4-roms toppleilighet med privat, solrik takterrasse på 20 kvm. Peis. Klassiske detaljer.",PrivatMegleren,0,0,0,0,0,0,0,1,121,7.0,0,0,1
"Lysehagan 50, 0383 Oslo",4300000.0,283000.0,15554.0,4598554.0,4598554.0,Leilighet,Andel,2,80.0,80,2,1988,E - rød,"3 roms for de over 50 år. Syd sydvestvendt balkong 8,5 kvm. Garasjeplass. Heis. Varmt vann inkl. Ingen dok.avgift.",Ukjent,1,0,1,1,0,0,0,0,33,10.0,0,1,0
"Middelthuns gate 9, 0368 Oslo",8250000.0,0.0,217820.0,8467820.0,2354.0,Leilighet,Selveier,2,96.0,98,4,1896,G - oransje,Attraktiv 3-roms toppleilighet med god planløsning - Peis - Walk-in-closet - Sentral beliggenhet på Majorstuen,PrivatMegleren,0,0,0,0,0,0,0,1,125,2.0,0,0,1
"Carl Kjelsens vei 78, 0880 Oslo",7500000.0,0.0,188874.0,7688874.0,953.08,Enebolig,Selveier,2,92.0,121,1,1991,E - oransje,"Sjarmerende enebolig i kjede over 2 plan - Garasje og parkering - Terrasse - Attraktiv beliggenhet med nærhet til ""alt""",Eiendomsmegler 1,0,0,1,0,1,0,0,0,30,11.0,0,0,1
"Wessels gate 2 A, 0165 Oslo",4000000.0,78330.0,113492.0,4191822.0,4191822.0,Leilighet,Selveier,1,38.0,38,4,1870,E - rød,Lekker 2-roms loftsleilighet med moderne standard og effektiv planløsning - Felles terrasse - Lave felleskostnader,PrivatMegleren,0,0,0,0,0,0,0,0,151,10.0,0,0,1
"Silurveien 16, 0380 Oslo",6700000.0,0.0,168842.0,6868842.0,2622.0,Leilighet,Selveier,2,80.0,85,3,2001,E - rød,"Lys og pen 3-roms topp/hjørneleilighet med stor terrasse på ca. 30 kvm., garasjeplass og heis. Høyt og frittliggende",Ukjent,0,0,1,1,0,0,0,0,20,10.0,0,0,1
"Locus ensjø Leil. D2-305, 0661 Oslo",4950000.0,0.0,70834.0,5020834.0,2750.0,Leilighet,Selveier,2,46.0,50,3,2021,D - lysegrønn,LOCUS ENSJØ - Stor og lys 2-roms med vestvendt balkong på 9m². Garasjeplass inkl. Innflytting Q1 2023. Salg av kontrakt.,Aktiv,1,0,1,0,0,0,0,0,0,18.0,0,0,1
"Olav Kyrres gate 8, 0273 Oslo",4950000.0,33923.0,134212.0,5118135.0,5118135.0,Leilighet,Selveier,1,52.0,55,3,1980,E - rød,FROGNER/SKARPSNO: Romslig og tiltalende 2-roms selveierleilighet med attraktiv beliggenhet - Terrasse - Garasjeplass,Nordvik,0,0,1,0,0,0,0,0,41,10.0,0,0,1
"Urtestien 7B, 1164 Oslo",9850000.0,0.0,247592.0,10097592.0,2700.0,Rekkehus,Selveier,4,141.0,141,3,2011,B - oransje,"Pent, innholdsrikt og barnevennlig rekkehus o/3plan- 4 sov, 3 baderom. Hybel. Skjermet m. stor terrasse- Garasje T-bane",Ukjent,0,0,1,0,0,0,0,0,10,26.0,0,0,1
"Platåveien 13, 0489 Oslo",9900000.0,0.0,248874.0,10148874.0,766.5,Tomannsbolig,Selveier,3,92.0,92,1,1936,G - oransje,Lekker og moderne 1. etasje i horisontaldelt 2-mannsbolig på Grefsen | oppusset i 2018 | Peis | Hage | Høy standard,Eiendomsmegler 1,0,0,0,0,0,1,0,0,85,2.0,0,0,1
"Ammerudveien 29D, 0958 Oslo",2700000.0,244638.0,1132.0,2945770.0,2945770.0,Leilighet,Andel,0,38.0,38,2,1959,F - rød,PERFEKT FØRSTEGANGSBOLIG | Lys 1-roms med alkove | Balkong | Varmtvann inkl.| Kort vei til marka,Ukjent,1,0,0,0,0,0,0,0,62,6.0,0,1,0
"Smestadveien 8F, 0376 Oslo",19300000.0,0.0,498170.0,19798170.0,1811.33,Enebolig,Selveier,5,237.0,244,1,2003,C - rød,Attraktiv og betydelig påkostet enebolig på 244 kvm BRA - Kjeller med egen inngang - Solrik hage og uteplasser - Garasje,PrivatMegleren,0,0,1,0,0,1,0,0,18,20.0,0,0,1
"Malerhaugveien 32D, 0661 Oslo",8100000.0,0.0,2687.0,8102687.0,3627.0,Leilighet,Andel,3,84.0,84,2,2019,C - mørkegrønn,Svært påkostet 4R familieleilighet - Solrik balkong - 2 baderom - Garasje - Heis - Felles Takterrasse - Attraktiv bel.,Krogsveen,1,0,1,1,0,0,0,0,2,22.0,0,1,0
"Sandakerveien 67 D, 0477 Oslo",4190000.0,194357.0,19520.0,4403877.0,4403877.0,Leilighet,Aksje,2,49.0,49,4,1939,F - mørkegrønn,Tiltalende og gjennomført 3-roms med attraktiv beliggenhet. Stilrent kjøkken og pent bad. Balkong med hyggelig utsyn.,Aktiv,1,0,0,0,0,0,0,0,82,8.0,1,0,0
"Selma Ellefsens vei 3H, 0581 Oslo",2400000.0,1911000.0,15554.0,4326554.0,4326554.0,Leilighet,Andel,1,48.0,48,3,2021,B - mørkegrønn,"Nyoppført, moderne og innbydende 2-roms med sydvestvendt balkong på 8 kvm. Felles takterrasse. IN-ordning",PrivatMegleren,1,0,0,0,0,0,0,0,0,27.0,0,1,0
"Bergljots vei 9B, 0575 Oslo",5500000.0,136000.0,9126.0,5645126.0,5645126.0,Leilighet,Andel,2,69.0,69,4,1950,G - rød,"Lys, pen og gjennomgående 3-roms - Fantastisk beliggenhet på Keyserløkka - Solrik balkong med herlig utsikt - Vedovn",Krogsveen,1,1,0,0,0,0,0,0,71,1.0,0,1,0
"Nordåssløyfa 18, 1251 Oslo",4900000.0,156000.0,23048.0,5079048.0,5079048.0,Leilighet,Andel,3,101.0,101,3,1983,F - mørkegrønn,Meget pen og romslig 4-roms I Fantastisk fjordutsikt I 2 solrike balkonger ! Garasje I Varmtvann og fyring inkludert,PrivatMegleren,1,1,1,0,0,0,0,0,38,8.0,0,1,0
"Noreveien 14, 0379 Oslo",23500000.0,0.0,604842.0,24104842.0,3198.75,Enebolig,Selveier,5,336.0,371,2,1969,G - oransje,"Stor og innholdsrik enebolig med tomt på over 1,7 mål - Solrik hage og terrasse - Dobbelgarasje - Oppussingsbehov",Nordvik,0,0,1,0,0,1,0,0,52,2.0,0,0,1
"Frydenlundgata 10A, 0169 Oslo",9900000.0,0.0,257142.0,10157142.0,2900.0,Leilighet,Selveier,2,85.0,85,5,1901,D - rød,"Lekker, påkostet 3-roms toppleilighet fra 2018 med unik takterrasse på 35m² - 100m² gulvareal - Jacuzzi - Sentralt",Nordvik,0,0,0,0,0,0,1,1,120,15.0,0,0,1
"Granhekkveien 11, 0682 Oslo",12825000.0,0.0,334640.0,13159640.0,1755.0,Enebolig,Selveier,6,217.0,221,1,1947,G - oransje,Nydelig & totaloppusset enebolig innerst i blindvei rett ved Østensjøvannet| Hybel m/ skattefri leieinntekt|Høy standard,EIE eiendomsmegling,0,0,0,0,0,0,0,0,74,2.0,0,0,1
"Mortensrudveien 16E, 1283 Oslo",3600000.0,83000.0,109890.0,3792890.0,3792890.0,Leilighet,Selveier,2,81.0,84,2,1999,G - mørkegrønn,Attraktiv 3(4)-roms selveiet toppleilighet på 81kvm p-rom - Solrik skjermet balkong - Sentralfyring - Garasjeplass -Loft,Ukjent,1,0,1,0,0,0,0,1,22,3.0,0,0,1
"Libakkfaret 3A, 1184 Oslo",3850000.0,243000.0,111062.0,4204062.0,4204062.0,Leilighet,Selveier,2,66.0,66,1,1954,F - mørkegrønn,"Sentral, lys og trivelig 3-roms selveierleilighet med vestvendt balkong. Stille, uten trafikkstøy. Høy 1. etasje.",Propr.no,1,0,0,0,0,0,0,0,67,8.0,0,0,1
"Hertug Skules gate 15B, 0652 Oslo",3400000.0,0.0,86374.0,3486374.0,2597.0,Leilighet,Selveier,1,35.0,35,1,1938,G - mørkegrønn,Superkoselig og kvadratsmart 2-roms-leilighet med skjermet beliggenhet|Fyring & varmtvann|Selveier|Lave felleskostnader,Eiendomsmegler 1,0,0,0,0,0,0,0,0,83,3.0,0,0,1
"Ullevålsveien 109C, 0359 Oslo",5700000.0,0.0,56344.0,5756344.0,4055.0,Leilighet,Selveier,2,61.0,61,5,1942,F - mørkegrønn,"Svært attraktiv, lys og pen gjennomg. 3-roms toppleilighet m/sydvestvendt balkong på ca. 10 kvm.",Nordvik,1,0,0,0,0,0,0,1,79,8.0,0,0,1
"Gunnar Schjelderups vei 11D, 0485 Oslo",11400000.0,0.0,294642.0,11694642.0,4974.0,Leilighet,Selveier,3,105.0,105,5,2007,D - rød,"Meget innbydende og delikat 4-roms - Nærhet til ""alt"" - Solrik balkong - Heis - Pusset opp i 2017 - Garasjeplass",Nordvik,1,0,1,1,0,0,0,0,14,15.0,0,0,1
"Aud Schønemanns vei 29, 0576 Oslo",13000000.0,55395.0,15526.0,13070921.0,13070921.0,Leilighet,Andel,3,96.0,103,2,1918,G - oransje,"Arkitekttegnet hagebybolig med lekre detaljer. Gjennomført med moderne løsninger. Direkte utgang til pen, skjermet hage.",Aktiv,0,0,0,0,0,1,0,0,103,2.0,0,1,0
"Knut Alvssons vei 13, 0574 Oslo",3950000.0,98064.0,110219.0,4158283.0,4158283.0,Leilighet,Selveier,2,48.0,49,2,1936,F - mørkegrønn,"Gjennomgående 3-roms selveier i 2.etg | Oppusset 2018 inkl. bad & kjøkken | Varmtvann, fyring, kabel-tv, internett inkl.",Schala & Partners,0,0,0,0,0,0,0,0,85,8.0,0,0,1
"Vardøgata 1, 0565 Oslo",4100000.0,289000.0,1132.0,4390132.0,4390132.0,Leilighet,Andel,2,70.0,70,2,1933,E - rød,Stor og lys 3-roms|Heis|Mulighet for garasje|Flott takterrasse med gode solforhold|Kort vei til alt|Ingen forkjøpsrett!,Ukjent,0,0,1,1,0,0,0,0,88,10.0,0,1,0
"Jacob Aalls gate 14 A, 0268 Oslo",15900000.0,102018.0,411592.0,16413610.0,16413610.0,Leilighet,Selveier,3,180.0,180,3,1897,G - mørkegrønn,"Stor (180 kvm) påkostet klassisk selveier m/solrik balkong, 2 ildsteder og 3,4 m. takhøyde i ærverdig bygård. Parkering*",Sem & Johnsen,1,0,0,0,1,0,0,0,124,3.0,0,0,1
"Kongsvingergata 1A, 0464 Oslo",6190000.0,364302.0,8626.0,6562928.0,6562928.0,Leilighet,Andel,2,73.0,73,1,1948,F - rød,Lekker og moderne 3-roms pusset opp i 2021. Høy 1. etasje. Tilknyttet vestvendt uteplass. Attraktiv beliggenhet.,Ukjent,0,0,0,0,0,0,0,0,73,6.0,0,1,0
"Thomas Heftyes gate 42B, 0264 Oslo",16500000.0,252000.0,430342.0,17182342.0,17182342.0,Leilighet,Selveier,3,146.0,146,3,1913,D - lysegrønn,Herskapelig og flott gjennomgående selveier i et av byens absolutt mest attraktive strøk. 3 soverom / 2 balkonger / peis,Sem & Johnsen,1,0,0,0,0,0,0,0,108,18.0,0,0,1
"Kristian Bogneruds vei 6, 0956 Oslo",3250000.0,44614.0,8060.0,3302674.0,3302674.0,Leilighet,Andel,1,54.0,62,2,1962,F - mørkegrønn,"Strøken, tiltalende 2roms | ""Alt"" inkl i FK | Solrik, innglasset balkong | Bad & kjøkken fra 2018 | Ingen forkjøpsrett!",PrivatMegleren,1,0,0,0,0,0,0,0,59,8.0,0,1,0
"Kristine Bonnevies vei 2, 0592 Oslo",3450000.0,182805.0,87592.0,3720397.0,3720397.0,Leilighet,Selveier,1,58.0,58,10,1959,G - mørkegrønn,"Fantastisk beliggende 2-R med upåklagelig utsikt. Kort vei til marka, heis, moderniseringsbehov og garasjeplass*",Krogsveen,0,1,1,1,0,0,0,0,62,3.0,0,0,1
"Ullernchausséen 116B, 0284 Oslo",6290000.0,0.0,8032.0,6298032.0,3023.0,Leilighet,Andel,2,67.0,67,1,2005,D - oransje,Lekker og unik 3-roms med 3 meter takhøyde i stuen. 2 bad. 2 solrike uteplasser. Garasje. Heis. Sentralt og rolig bel.,Sem & Johnsen,0,0,1,1,0,0,1,0,16,16.0,0,1,0
"Lørenveien 64A, 0585 Oslo",3500000.0,2100000.0,15526.0,5615526.0,5615526.0,Leilighet,Andel,2,62.0,62,4,2018,B - mørkegrønn,3-roms hjørneleilighet med koselig balkong mot gårdsrom og heis. Sentralt beliggende på bilfri tomt. Ingen dok. avgift.,Nordvik,1,0,0,1,0,0,1,0,3,27.0,0,1,0
